Parzelle_ID,Parzelle,Wiederholung,Pruefglied_ID,Hoehenlage_Min,Hoehenlage_Max,Beginn,Ende
12001,12001,1,13,62.02,62.13,1963,
12002,12002,1,15,61.95,62.03,1963,
12003,12003,1,9,61.91,61.96,1963,
12004,12004,1,3,61.9,61.95,1963,
12005,12005,1,8,61.84,61.94,1963,
12006,12006,1,12,61.75,61.87,1963,
12007,12007,1,1,61.72,61.82,1963,
12008,12008,1,14,62,62.1,1963,
12009,12009,1,17,61.97,62.03,1963,
12010,12010,1,4,61.93,62.02,1963,
12011,12011,1,16,61.94,62.02,1963,
12012,12012,1,21,61.91,62.03,1963,
12013,12013,1,10,61.86,61.99,1963,
12014,12014,1,7,61.77,61.98,1963,
12015,12015,1,19,62.02,62.12,1963,
12016,12016,1,11,61.99,62.04,1963,
12017,12017,1,5,61.99,62.07,1963,
12018,12018,1,6,62.02,62.1,1963,
12019,12019,1,18,62.04,62.09,1963,
12020,12020,1,20,61.98,62.1,1963,
12021,12021,1,2,61.89,62.08,1963,
12022,12022,2,7,62.05,62.12,1963,
12023,12023,2,6,62.03,62.06,1963,
12024,12024,2,16,62.04,62.1,1963,
12025,12025,2,9,62.07,62.12,1963,
12026,12026,2,15,62.09,62.14,1963,
12027,12027,2,4,62.08,62.15,1963,
12028,12028,2,8,62.04,62.14,1963,
12029,12029,2,5,62.07,62.14,1963,
12030,12030,2,13,62.02,62.08,1963,
12031,12031,2,12,62.04,62.11,1963,
12032,12032,2,18,62.09,62.16,1963,
12033,12033,2,1,62.12,62.18,1963,
12034,12034,2,14,62.13,62.2,1963,
12035,12035,2,17,62.13,62.2,1963,
12036,12036,2,21,62.09,62.16,1963,
12037,12037,2,20,62.02,62.11,1963,
12038,12038,2,19,62.06,62.11,1963,
12039,12039,2,10,62.11,62.17,1963,
12040,12040,2,11,62.14,62.2,1963,
12041,12041,2,2,62.18,62.23,1963,
12042,12042,2,3,62.17,62.24,1963,
12043,12043,3,10,62.1,62.17,1963,
12044,12044,3,14,62.07,62.1,1963,
12045,12045,3,21,62.07,62.1,1963,
12046,12046,3,8,62.09,62.15,1963,
12047,12047,3,7,62.14,62.2,1963,
12048,12048,3,15,62.21,62.28,1963,
12049,12049,3,12,62.2,62.3,1963,
12050,12050,3,6,62.11,62.2,1963,
12051,12051,3,9,62.07,62.14,1963,
12052,12052,3,20,62.06,62.1,1963,
12053,12053,3,19,62.1,62.14,1963,
12054,12054,3,16,62.13,62.22,1963,
12055,12055,3,18,62.23,62.31,1963,
12056,12056,3,4,62.23,62.31,1963,
12057,12057,3,3,62.14,62.22,1963,
12058,12058,3,5,62.06,62.15,1963,
12059,12059,3,17,62.09,62.11,1963,
12060,12060,3,1,62.08,62.13,1963,
12061,12061,3,2,62.13,62.23,1963,
12062,12062,3,11,62.21,62.32,1963,
12063,12063,3,13,62.26,62.33,1963,
12064,12064,4,11,62.13,62.29,1963,
12065,12065,4,2,62.09,62.16,1963,
12066,12066,4,6,62.06,62.11,1963,
12067,12067,4,12,62.09,62.14,1963,
12068,12068,4,19,62.14,62.23,1963,
12069,12069,4,7,62.22,62.32,1963,
12070,12070,4,18,62.28,62.34,1963,
12071,12071,4,20,62.17,62.26,1963,
12072,12072,4,3,62.09,62.19,1963,
12073,12073,4,13,62.07,62.11,1963,
12074,12074,4,21,62.09,62.12,1963,
12075,12075,4,17,62.12,62.21,1963,
12076,12076,4,9,62.2,62.31,1963,
12077,12077,4,5,62.28,62.34,1963,
12078,12078,4,15,62.18,62.28,1963,
12079,12079,4,16,62.11,62.19,1963,
12080,12080,4,8,62.1,62.13,1963,
12081,12081,4,4,62.11,62.13,1963,
12082,12082,4,10,62.11,62.19,1963,
12083,12083,4,1,62.18,62.29,1963,
12084,12084,4,14,62.26,62.32,1963,
12085,12085,5,2,62.2,62.33,1963,
12086,12086,5,7,62.13,62.23,1963,
12087,12087,5,11,62.12,62.17,1963,
12088,12088,5,17,62.11,62.16,1963,
12089,12089,5,4,62.11,62.19,1963,
12090,12090,5,3,62.19,62.26,1963,
12091,12091,5,10,62.26,62.3,1963,
12092,12092,5,9,62.23,62.36,1963,
12093,12093,5,18,62.16,62.28,1963,
12094,12094,5,14,62.14,62.22,1963,
12095,12095,5,5,62.13,62.2,1963,
12096,12096,5,20,62.15,62.21,1963,
12097,12097,5,21,62.2,62.27,1963,
12098,12098,5,15,62.25,62.3,1963,
12099,12099,5,16,62.3,62.42,1963,
12100,12100,5,8,62.23,62.34,1963,
12101,12101,5,1,62.21,62.26,1963,
12102,12102,5,13,62.19,62.26,1963,
12103,12103,5,12,62.18,62.24,1963,
12104,12104,5,6,62.22,62.31,1963,
12105,12105,5,19,62.26,62.34,1963,
12106,12106,6,12,62.36,62.5,1963,
12107,12107,6,1,62.28,62.39,1963,
12108,12108,6,10,62.23,62.32,1963,
12109,12109,6,11,62.23,62.31,1963,
12110,12110,6,13,62.23,62.29,1963,
12111,12111,6,5,62.25,62.35,1963,
12112,12112,6,6,62.29,62.38,1963,
12113,12113,6,8,62.42,62.54,1963,
12114,12114,6,4,62.33,62.46,1963,
12115,12115,6,3,62.32,62.38,1963,
12116,12116,6,7,62.29,62.36,1963,
12117,12117,6,9,62.28,62.34,1963,
12118,12118,6,17,62.3,62.4,1963,
12119,12119,6,20,62.34,62.41,1963,
12120,12120,6,18,62.48,62.61,1963,
12121,12121,6,21,62.4,62.53,1963,
12122,12122,6,2,62.36,62.45,1963,
12123,12123,6,15,62.32,62.42,1963,
12124,12124,6,14,62.32,62.38,1963,
12125,12125,6,19,62.36,62.42,1963,
12126,12126,6,16,62.39,62.45,1963,
12127,12127,7,4,62.53,62.63,1963,
12128,12128,7,10,62.47,62.57,1963,
12129,12129,7,7,62.43,62.49,1963,
12130,12130,7,20,62.39,62.44,1963,
12131,12131,7,5,62.35,62.43,1963,
12132,12132,7,8,62.39,62.48,1963,
12133,12133,7,11,62.4,62.5,1963,
12134,12134,7,1,62.58,62.7,1963,
12135,12135,7,12,62.51,62.6,1963,
12136,12136,7,18,62.47,62.54,1963,
12137,12137,7,2,62.44,62.51,1963,
12138,12138,7,6,62.41,62.47,1963,
12139,12139,7,13,62.42,62.55,1963,
12140,12140,7,9,62.45,62.53,1963,
12141,12141,7,17,62.63,62.7,1963,
12142,12142,7,19,62.56,62.65,1963,
12143,12143,7,15,62.52,62.6,1963,
12144,12144,7,14,62.47,62.55,1963,
12145,12145,7,3,62.46,62.52,1963,
12146,12146,7,16,62.48,62.59,1963,
12147,12147,7,21,62.51,62.58,1963,
12148,12148,8,13,62.67,62.77,1971,
12149,12149,8,15,62.61,62.69,1971,
12150,12150,8,9,62.56,62.61,1971,
12151,12151,8,3,62.53,62.61,1971,
12152,12152,8,8,62.51,62.6,1971,
12153,12153,8,12,62.55,62.6,1971,
12154,12154,8,1,62.54,62.59,1971,
12155,12155,8,14,62.68,62.78,1971,
12156,12156,8,17,62.62,62.69,1971,
12157,12157,8,4,62.6,62.64,1971,
12158,12158,8,16,62.59,62.65,1971,
12159,12159,8,21,62.58,62.63,1971,
12160,12160,8,10,62.59,62.64,1971,
12161,12161,8,7,62.56,62.64,1971,
12162,12162,8,19,62.66,62.75,1971,
12163,12163,8,11,62.63,62.68,1971,
12164,12164,8,5,62.63,62.66,1971,
12165,12165,8,6,62.63,62.67,1971,
12166,12166,8,18,62.61,62.67,1971,
12167,12167,8,20,62.62,62.68,1971,
12168,12168,8,2,62.56,62.68,1971,
